stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code
S010200081700100,拓北４条１丁目,43.1524905334052,141.377048852771,Z007800,0,,,,,,,
S010200081700200,拓北４条１丁目,43.1526901698839,141.377291873642,Z007800,0,,,,,,,
S010200081800100,拓北４条２丁目,43.1538359231324,141.379097192148,Z007810,0,,,,,,,
S010200081800200,拓北４条２丁目,43.1536883682085,141.378993044138,Z007810,0,,,,,,,
S010200081900100,ひまわり団地,43.1575421154015,141.380485725948,Z007820,0,,,,,,,
S010200081900200,ひまわり団地,43.156318303544,141.380416362766,Z007820,0,,,,,,,
S010200082000100,あいの里２条１丁目,43.1614046980191,141.386734911594,Z007830,0,,,,,,,
S010200082000200,あいの里２条１丁目,43.1605107094605,141.386734966284,Z007830,0,,,,,,,
S010200082100100,あいの里３条１丁目,43.1651455923503,141.38763737699,Z007840,0,,,,,,,
S010200082100200,あいの里３条１丁目,43.1641561281512,141.387602718523,Z007840,0,,,,,,,
S010200083400100,旭台橋,43.0270520608541,141.834444949162,Z007850,0,,,,,,,
S010200083400200,旭台橋,43.0268871583065,141.834687992539,Z007850,0,,,,,,,
S010200083500100,継立,43.0210466991963,141.860310999988,Z007860,0,,,,,,,
S010200083500200,継立,43.0206907866771,141.858713946166,Z007860,0,,,,,,,
S010200083600100,新二股,43.0372698608559,141.895584543987,Z007870,0,,,,,,,
S010200083600200,新二股,43.0372872290641,141.895862295217,Z007870,0,,,,,,,
S010200083700100,富野,43.0387028003847,141.920373848758,Z007880,0,,,,,,,
S010200083700200,富野,43.0386767457624,141.919887783827,Z007880,0,,,,,,,
S010200083800100,夕張テニスコート,43.0303025706794,141.966550688711,Z007890,0,,,,,,,
S010200083800200,夕張テニスコート,43.0302678641762,141.966897881255,Z007890,0,,,,,,,
S010200083900100,鹿ノ谷郵便局・夕張鹿鳴館入口,43.0383483474199,141.962800536412,Z007900,0,,,,,,,
S010200083900200,鹿ノ谷郵便局・夕張鹿鳴館入口,43.0388430757458,141.962696348792,Z007900,0,,,,,,,
S010200084000100,末広１丁目,43.0470018460507,141.963772135904,Z007910,0,,,,,,,
S010200084000200,末広１丁目,43.0466633430576,141.963702718704,Z007910,0,,,,,,,
S010200084100100,夕張郵便局前,43.0493106553955,141.965612102582,Z007920,0,,,,,,,
S010200084100200,夕張郵便局前,43.0492325444603,141.965750983559,Z007920,0,,,,,,,
S010200084200100,レースイリゾート,43.0512375584645,141.967209059521,Z007930,0,,,,,,,
S010200084200200,レースイリゾート,43.0512896516237,141.967695122861,Z007930,0,,,,,,,
S010200084300100,富丘団地入口,42.8355411800819,141.643606083923,Z008400,0,,,,,,,
S010200084300200,富丘団地入口,42.8354717474542,141.64371024524,Z008400,0,,,,,,,
S010200084400100,富丘中央,42.8378152606044,141.645133583893,Z008410,0,,,,,,,
S010200084400200,富丘中央,42.8377631881264,141.645272463197,Z008410,0,,,,,,,
S010200084500100,東１０線,42.8397768720992,141.646452788536,Z008420,0,,,,,,,
S010200084500200,東１０線,42.8396032831297,141.646487518086,Z008420,0,,,,,,,
S010200084600100,富丘北,42.841130814589,141.644612597554,Z008430,0,,,,,,,
S010200084600200,富丘北,42.8413391158859,141.644404270714,Z008430,0,,,,,,,
S010200084700100,富丘団地,42.8422764045393,141.64141837674,Z008440,0,,,,,,,
S010200084700200,富丘団地,42.8423545246421,141.641557248159,Z008440,0,,,,,,,
S010200084800100,北光６丁目,42.8451664589262,141.634682708535,Z008450,0,,,,,,,
S010200084800200,北光６丁目,42.8453834579437,141.635029885762,Z008450,0,,,,,,,
S010200084900100,北陽３丁目,42.8475099788649,141.636314361333,Z008460,0,,,,,,,
S010200084900200,北陽３丁目,42.8475533820844,141.636487953889,Z008460,0,,,,,,,
S010200085000100,北陽高校前,42.8488726896581,141.637182254712,Z008470,0,,,,,,,
S010200085000200,北陽高校前,42.8487859014374,141.637390574189,Z008470,0,,,,,,,
S010200085100100,第２わかば幼稚園前,42.8502700216838,141.63509902787,Z008480,0,,,,,,,
S010200085100200,第２わかば幼稚園前,42.8503047476752,141.635342059022,Z008480,0,,,,,,,
S010200085200100,北陽４丁目,42.8512073228517,141.632495043354,Z008490,0,,,,,,,
S010200085200200,北陽４丁目,42.8514416592451,141.632182557832,Z008490,0,,,,,,,
S010200085300100,６線中通,42.8524136624956,141.629092504721,Z008500,0,,,,,,,
S010200085300200,６線中通,42.8524397112579,141.629404974469,Z008500,0,,,,,,,
S010200085400100,すずらん公園,42.8535939704572,141.625898281901,Z008510,0,,,,,,,
S010200085400200,すずらん公園,42.8537068063011,141.625967713138,Z008510,0,,,,,,,
S010200085500100,長都駅東口,42.8523527249469,141.623572181666,Z008520,0,,,,,,,
S010200085700100,長都駅前４丁目,42.8566318154708,141.626453602454,Z008540,0,,,,,,,
S010200085700200,長都駅前４丁目,42.8567012549275,141.626557755355,Z008540,0,,,,,,,
S010200085800100,ゴセン川,42.8577686883283,141.622113654107,Z008550,0,,,,,,,
S010200085800200,ゴセン川,42.8579596306095,141.621905328325,Z008550,0,,,,,,,
S010200085900100,みどり台南３丁目,42.8588882943921,141.620585948713,Z008560,0,,,,,,,
S010200085900200,みどり台南３丁目,42.8589664167683,141.620794258194,Z008560,0,,,,,,,
S010200086000100,みどり台北４丁目,42.8620215342376,141.618710930976,Z008570,0,,,,,,,
S010200086000200,みどり台北４丁目,42.8619173756237,141.618572061145,Z008570,0,,,,,,,
S010200086100100,みどり台北２丁目,42.8624727762877,141.61589866178,Z008580,0,,,,,,,
S010200086100200,みどり台北２丁目,42.8628026202454,141.6165930225,Z008580,0,,,,,,,
S010200086200100,新光３丁目,43.1697262665553,141.057494090869,Z008040,0,,,,,,,
S010200086300100,朝里中学校前,43.171783408262,141.060583956727,Z008050,0,,,,,,,
S010200086400100,柾里,43.1731635072886,141.06238926078,Z008020,0,,,,,,,
S010200086500100,新光２丁目,43.1746823416393,141.059993557754,Z008030,0,,,,,,,
S010200086600100,ベイビュータウン入口,43.1727816172495,141.06263231695,Z008590,0,,,,,,,
S010200086700100,ベイビュータウン中央,43.1745958086882,141.068048370346,Z008010,0,,,,,,,
S010200086700200,ベイビュータウン中央,43.1745524055465,141.067874777996,Z008010,0,,,,,,,
S010200086800100,ベイビュータウン,43.1722003438381,141.070409407655,Z008000,0,,,,,,,
S010200086800200,ベイビュータウン,43.172278462716,141.070513559904,Z008000,0,,,,,,,
S010200086900100,屯田２条４丁目,43.1243936061743,141.334797532433,Z008600,0,,,,,,,
S010200086900200,屯田２条４丁目,43.1244283173609,141.334589216253,Z008600,0,,,,,,,
S010200087000100,屯田３条２丁目,43.1244631762387,141.338894371435,Z008610,0,,,,,,,
S010200087000200,屯田３条２丁目,43.1244631807833,141.339033247477,Z008610,0,,,,,,,
S010200087100100,屯田５条８丁目,43.1315538590788,141.32455498779,Z008620,0,,,,,,,
S010200087100200,屯田５条８丁目,43.1316666982656,141.324728575957,Z008620,0,,,,,,,
S010200087200100,屯田西公園,43.132039781623,141.320596991062,Z008630,0,,,,,,,
S010200087200200,屯田西公園,43.132213375041,141.320701137503,Z008630,0,,,,,,,
